hidden_layer,CUDA (GB/s),Torch (GB/s)
256.000000,125.889570,48.960764
384.000000,107.681604,60.697546
512.000000,129.901288,74.786240
640.000000,155.397810,70.070364
768.000000,170.089214,73.861256
896.000000,223.421946,90.898464
1024.000000,275.457013,118.694117
1152.000000,295.620863,118.487024
1280.000000,342.274921,125.985099
1408.000000,351.694016,134.213522
1536.000000,429.376177,124.745900
1664.000000,392.434023,141.859702
1792.000000,430.045333,164.318250
1920.000000,490.639407,169.854911
2048.000000,516.128046,155.114754
2176.000000,534.533805,169.330517
2304.000000,549.938763,152.983246
2432.000000,521.529320,185.667132
2560.000000,557.608693,173.633968
2688.000000,623.262620,163.535250
2816.000000,687.886365,176.095029
2944.000000,755.579951,198.208947
3072.000000,601.029580,202.907264
3200.000000,619.548300,205.588076
3328.000000,748.043725,218.433198
3456.000000,672.972610,200.334415
3584.000000,731.582605,191.566440
3712.000000,705.374989,213.805539
3840.000000,707.907994,213.548919
3968.000000,786.215720,227.369227
4096.000000,682.653531,221.149577
4224.000000,743.932470,238.091115
4352.000000,863.724484,229.136753
4480.000000,861.213652,202.916094
4608.000000,863.384252,239.712082
4736.000000,827.659875,239.585753
4864.000000,918.682745,242.426137
4992.000000,953.822083,221.197735
5120.000000,931.694339,230.263873
5248.000000,1003.903362,249.380762
5376.000000,946.131727,250.042095
5504.000000,999.583926,237.496532
5632.000000,1283.567255,249.353830
5760.000000,911.835249,233.396138
5888.000000,1033.673062,241.183720
6016.000000,1073.345262,263.255357
6144.000000,1340.748994,240.696681
6272.000000,1344.268683,256.658722
6400.000000,1186.963866,259.392617
6528.000000,1351.257594,260.053913
6656.000000,1229.691162,249.350780
6784.000000,1532.436701,255.911157
6912.000000,1235.072747,252.643709
7040.000000,1472.561196,267.162821
7168.000000,1522.620678,287.349666
7296.000000,1451.365091,245.220086
7424.000000,1576.691143,262.855850
7552.000000,1262.415795,260.156603
7680.000000,1238.188532,252.800479
7808.000000,1212.790885,260.563161
7936.000000,1464.513538,268.653893
8064.000000,1650.701599,283.499994
8192.000000,2046.120347,244.517262
8320.000000,1291.636228,262.256856
8448.000000,1406.409212,248.287961
8576.000000,1315.452304,251.291984
8704.000000,1383.276185,264.957015
8832.000000,1387.179707,283.837751
8960.000000,1428.801727,274.889842
9088.000000,1560.985691,255.010758
9216.000000,2241.780350,281.083667
9344.000000,1949.060456,283.454848
9472.000000,2017.022719,284.049510
9600.000000,2192.415997,275.045953
9728.000000,1435.090190,284.524599
9856.000000,1484.035689,202.803236
9984.000000,1449.146152,269.861858
10112.000000,1505.835673,280.899373
10240.000000,1549.359070,276.827011
10368.000000,1563.236198,273.375001
10496.000000,1890.112833,297.028316
10624.000000,2657.061618,274.628486
10752.000000,1652.120665,288.296215
10880.000000,1583.627510,271.516963
11008.000000,1546.107553,294.493951
11136.000000,1817.360771,298.225568
11264.000000,1693.884795,292.183307
11392.000000,1669.113729,290.570480
11520.000000,1696.810317,273.660583
11648.000000,1750.612472,287.072812
11776.000000,2707.698180,300.281712
11904.000000,2832.721864,226.062995
12032.000000,2843.435163,288.258488
12160.000000,2893.640617,298.629742
12288.000000,1820.231383,305.162797
12416.000000,1863.707835,298.256701
12544.000000,2050.979076,302.497291
12672.000000,2153.912914,295.570269
